Edad,Sexo,Valor,Tipo
2 años,Mujeres,7502,espana_rural
3 años,Mujeres,7894,espana_rural
4 años,Mujeres,8243,espana_rural
5 años,Mujeres,8731,espana_rural
6 años,Mujeres,8610,espana_rural
7 años,Mujeres,8699,espana_rural
8 años,Mujeres,9209,espana_rural
9 años,Mujeres,9667,espana_rural
10 años,Mujeres,9888,espana_rural
11 años,Mujeres,9835,espana_rural
12 años,Mujeres,10437,espana_rural
13 años,Mujeres,10084,espana_rural
14 años,Mujeres,10075,espana_rural
15 años,Mujeres,10211,espana_rural
16 años,Mujeres,9990,espana_rural
17 años,Mujeres,10149,espana_rural
18 años,Mujeres,9781,espana_rural
19 años,Mujeres,10297,espana_rural
20 años,Mujeres,10571,espana_rural
21 años,Mujeres,10713,espana_rural
22 años,Mujeres,10522,espana_rural
23 años,Mujeres,11079,espana_rural
24 años,Mujeres,10832,espana_rural
25 años,Mujeres,11001,espana_rural
26 años,Mujeres,11156,espana_rural
27 años,Mujeres,11587,espana_rural
28 años,Mujeres,11888,espana_rural
29 años,Mujeres,11953,espana_rural
30 años,Mujeres,12142,espana_rural
31 años,Mujeres,12249,espana_rural
32 años,Mujeres,12586,espana_rural
33 años,Mujeres,12623,espana_rural
34 años,Mujeres,12887,espana_rural
35 años,Mujeres,13109,espana_rural
36 años,Mujeres,13506,espana_rural
37 años,Mujeres,13855,espana_rural
38 años,Mujeres,14424,espana_rural
39 años,Mujeres,15096,espana_rural
40 años,Mujeres,15809,espana_rural
41 años,Mujeres,16138,espana_rural
42 años,Mujeres,16990,espana_rural
43 años,Mujeres,16866,espana_rural
44 años,Mujeres,17688,espana_rural
45 años,Mujeres,17777,espana_rural
46 años,Mujeres,17629,espana_rural
47 años,Mujeres,17768,espana_rural
48 años,Mujeres,17819,espana_rural
49 años,Mujeres,18199,espana_rural
50 años,Mujeres,18531,espana_rural
51 años,Mujeres,18987,espana_rural
52 años,Mujeres,19418,espana_rural
53 años,Mujeres,19687,espana_rural
54 años,Mujeres,20011,espana_rural
55 años,Mujeres,20095,espana_rural
56 años,Mujeres,20987,espana_rural
57 años,Mujeres,20255,espana_rural
58 años,Mujeres,19747,espana_rural
59 años,Mujeres,20025,espana_rural
60 años,Mujeres,19951,espana_rural
61 años,Mujeres,19034,espana_rural
62 años,Mujeres,18348,espana_rural
63 años,Mujeres,17998,espana_rural
64 años,Mujeres,16824,espana_rural
65 años,Mujeres,15946,espana_rural
66 años,Mujeres,15606,espana_rural
67 años,Mujeres,15480,espana_rural
68 años,Mujeres,15689,espana_rural
69 años,Mujeres,14911,espana_rural
70 años,Mujeres,14782,espana_rural
71 años,Mujeres,15501,espana_rural
72 años,Mujeres,16333,espana_rural
73 años,Mujeres,15170,espana_rural
74 años,Mujeres,14604,espana_rural
